kernel id, kernel mangled name, grid_dimX, grid_dimY, grid_dimZ, #blocks, block_dimX, block_dimY, block_dimZ, #threads, total_insts, total_reported_insts
kernel-98.trace, _Z12pgain_kerneliilP5PointiPfS1_PiPb, 2, 1, 1, 2, 512, 1, 1, 512, 5364,5364
kernel-99.trace, _Z12pgain_kerneliilP5PointiPfS1_PiPb, 2, 1, 1, 2, 512, 1, 1, 512, 5364,5364
kernel-100.trace, _Z12pgain_kerneliilP5PointiPfS1_PiPb, 2, 1, 1, 2, 512, 1, 1, 512, 5364,5364
kernel-101.trace, _Z12pgain_kerneliilP5PointiPfS1_PiPb, 2, 1, 1, 2, 512, 1, 1, 512, 5364,5364
kernel-102.trace, _Z12pgain_kerneliilP5PointiPfS1_PiPb, 2, 1, 1, 2, 512, 1, 1, 512, 5364,5364
kernel-103.trace, _Z12pgain_kerneliilP5PointiPfS1_PiPb, 2, 1, 1, 2, 512, 1, 1, 512, 5364,5364
kernel-104.trace, _Z12pgain_kerneliilP5PointiPfS1_PiPb, 2, 1, 1, 2, 512, 1, 1, 512, 5364,5364
kernel-105.trace, _Z12pgain_kerneliilP5PointiPfS1_PiPb, 2, 1, 1, 2, 512, 1, 1, 512, 5364,5364
kernel-106.trace, _Z12pgain_kerneliilP5PointiPfS1_PiPb, 2, 1, 1, 2, 512, 1, 1, 512, 5364,5364
kernel-107.trace, _Z12pgain_kerneliilP5PointiPfS1_PiPb, 2, 1, 1, 2, 512, 1, 1, 512, 5364,5364
kernel-108.trace, _Z12pgain_kerneliilP5PointiPfS1_PiPb, 2, 1, 1, 2, 512, 1, 1, 512, 5364,5364
kernel-109.trace, _Z12pgain_kerneliilP5PointiPfS1_PiPb, 2, 1, 1, 2, 512, 1, 1, 512, 5364,5364
kernel-110.trace, _Z12pgain_kerneliilP5PointiPfS1_PiPb, 2, 1, 1, 2, 512, 1, 1, 512, 5364,5364
kernel-111.trace, _Z12pgain_kerneliilP5PointiPfS1_PiPb, 2, 1, 1, 2, 512, 1, 1, 512, 5364,5364
kernel-112.trace, _Z12pgain_kerneliilP5PointiPfS1_PiPb, 2, 1, 1, 2, 512, 1, 1, 512, 5364,5364
kernel-113.trace, _Z12pgain_kerneliilP5PointiPfS1_PiPb, 2, 1, 1, 2, 512, 1, 1, 512, 5364,5364
kernel-114.trace, _Z12pgain_kerneliilP5PointiPfS1_PiPb, 2, 1, 1, 2, 512, 1, 1, 512, 5364,5364
kernel-115.trace, _Z12pgain_kerneliilP5PointiPfS1_PiPb, 2, 1, 1, 2, 512, 1, 1, 512, 5364,5364
kernel-116.trace, _Z12pgain_kerneliilP5PointiPfS1_PiPb, 2, 1, 1, 2, 512, 1, 1, 512, 5364,5364
kernel-117.trace, _Z12pgain_kerneliilP5PointiPfS1_PiPb, 2, 1, 1, 2, 512, 1, 1, 512, 5364,5364
kernel-118.trace, _Z12pgain_kerneliilP5PointiPfS1_PiPb, 2, 1, 1, 2, 512, 1, 1, 512, 5364,5364
kernel-119.trace, _Z12pgain_kerneliilP5PointiPfS1_PiPb, 2, 1, 1, 2, 512, 1, 1, 512, 5364,5364
kernel-120.trace, _Z12pgain_kerneliilP5PointiPfS1_PiPb, 2, 1, 1, 2, 512, 1, 1, 512, 5364,5364
kernel-121.trace, _Z12pgain_kerneliilP5PointiPfS1_PiPb, 2, 1, 1, 2, 512, 1, 1, 512, 5364,5364
kernel-122.trace, _Z12pgain_kerneliilP5PointiPfS1_PiPb, 2, 1, 1, 2, 512, 1, 1, 512, 5364,5364
kernel-123.trace, _Z12pgain_kerneliilP5PointiPfS1_PiPb, 2, 1, 1, 2, 512, 1, 1, 512, 5364,5364
kernel-124.trace, _Z12pgain_kerneliilP5PointiPfS1_PiPb, 2, 1, 1, 2, 512, 1, 1, 512, 5364,5364
kernel-125.trace, _Z12pgain_kerneliilP5PointiPfS1_PiPb, 2, 1, 1, 2, 512, 1, 1, 512, 5364,5364
kernel-126.trace, _Z12pgain_kerneliilP5PointiPfS1_PiPb, 2, 1, 1, 2, 512, 1, 1, 512, 5364,5364
kernel-127.trace, _Z12pgain_kerneliilP5PointiPfS1_PiPb, 2, 1, 1, 2, 512, 1, 1, 512, 5364,5364
kernel-128.trace, _Z12pgain_kerneliilP5PointiPfS1_PiPb, 2, 1, 1, 2, 512, 1, 1, 512, 5364,5364
kernel-129.trace, _Z12pgain_kerneliilP5PointiPfS1_PiPb, 2, 1, 1, 2, 512, 1, 1, 512, 5364,5364
kernel-130.trace, _Z12pgain_kerneliilP5PointiPfS1_PiPb, 2, 1, 1, 2, 512, 1, 1, 512, 5364,5364
